source,target,weight
1009610,1009726,138
1009610,1009368,388
1009610,1009220,413
1009610,1009718,416
1009610,1009165,306
1009610,1009664,218
1009610,1009351,221
1009610,1009299,166
1009610,1009262,174
1009610,1009356,163
1009610,1009662,168
1009610,1009257,74
1009610,1009268,89
1009610,1009282,120
1009610,1009629,53
1009610,1009366,107
1009610,1009515,79
1009610,1009175,57
1009610,1009187,52
1009610,1009243,61
1009610,1010791,41
1009610,1009459,132
1009610,1009546,32
1009610,1009592,44
1009610,1009472,43
1009610,1009338,131
1009610,1009362,28
1009610,1009697,56
1009610,1009159,19
1009610,1009189,52
1009610,1009313,13
1009610,1010338,66
1009610,1009562,60
1009610,1009471,29
1009610,1009214,12
1009610,1009583,63
1009610,1009724,10
1009610,1009417,48
1009610,1009512,6
1009610,1009281,56
1009610,1009707,61
1009610,1010852,0
1009610,1009367,56
1009610,1009407,24
1009610,1009708,362
1009610,1011336,5
1009610,1009504,24
1009610,1009310,22
1009610,1010360,10
1009610,1009318,26
1009610,1009215,120
1009610,1009524,37
1009610,1010370,3
1009610,1010892,0
1009610,1009337,7
1009610,1009182,5
1009610,1011299,7
1009610,1011010,1
1009610,1009466,23
1009610,1009508,6
1009610,1011490,25
1009610,1009343,20
1009610,1009219,8
1009610,1009719,32
1009610,1009554,6
1009610,1009452,53
1009610,1011109,0
1009610,1009277,13
1009610,1009372,255
1009610,1009499,3
1009610,1009609,29
1009610,1010771,2
1009610,1009652,25
1009610,1009389,103
1009610,1009224,26
1009610,1010894,0
1009610,1009288,16
1009610,1009365,11
1009610,1009381,0
1009610,1009267,6
1009610,1011023,2
1009610,1016181,57
1009610,1009608,126
1009610,1009480,11
1009610,1009705,5
1009610,1010738,3
1009610,1009477,27
1009610,1009379,10
1009610,1009312,24
1009610,1009722,12
1009610,1009327,6
1009610,1009577,21
1009610,1009297,20
1009610,1009382,22
1009610,1010373,6
1009610,1009325,95
1009610,1009638,5
1009610,1010354,12
1009726,1009610,138
1009726,1009368,64
1009726,1009220,75
1009726,1009718,1031
1009726,1009165,126
1009726,1009664,56
1009726,1009351,53
1009726,1009299,82
1009726,1009262,21
1009726,1009356,30
1009726,1009662,26
1009726,1009257,755
1009726,1009268,43
1009726,1009282,21
1009726,1009629,736
1009726,1009366,30
1009726,1009515,7
1009726,1009175,564
1009726,1009187,29
1009726,1009243,618
1009726,1010791,33
1009726,1009459,24
1009726,1009546,524
1009726,1009592,18
1009726,1009472,511
1009726,1009338,32
1009726,1009362,467
1009726,1009697,27
1009726,1009159,365
1009726,1009189,18
1009726,1009313,398
1009726,1010338,6
1009726,1009562,56
1009726,1009471,38
